citation_id,source_label,indicator,assigned_category,matched_regex_or_rule,matched_text,evidence_excerpt,coding_basis
[77],Belgium - National (all three regions) - Fost Plus (producer responsibility organisation) / waste-company guidance,Certification and Approval Basis,OK compost HOME / NF T 51-800 / AS 5810,\bhome[- ]?compostable|home\s*compostability\b,home-compostable,"terial can be broken down into carbon dioxide, water, and biomass within a specific timeframe under specific conditions. This can mean either home-compostable or industrially compostable. Compostable packaging is subject to certification standards in North America, Japan, and Europe. Are bio-de",regex_include_exclude
[77],Belgium - National (all three regions) - Fost Plus (producer responsibility organisation) / waste-company guidance,Rejection Rationale,Compost/digestate quality or contamination concern,\b(compost\s+quality|digestate\s+quality|microplastic|microplastics|contamination|contaminant|foreign\s+matter|residue|pollutant|clean\s+compost|soil|agricultural\s+use|quality\s+standard|fertiliser|fertilizer|impurity|physical\s+contamination|quality\s+control|nutrient|nutritional\s+value|soil\s+amendment)\b,contamination,"n. In sorting, the biodegradable packaging can be identified by mistake as another plastic and directed to a recycling stream where it creates contamination and decreases output recyclate value. As of 1 January 2024 sorting food waste is mandatory across Europe. All three Regions have transp",regex_include_exclude
[78],Belgium - Flanders (national D4R guideline) - Fost Plus — Design for Recycling guidelines (Algemene D4R richtlijnen) / waste-company guidance,Source Authority,Waste operator or treatment-facility rule,,,Belgium - Flanders (national D4R guideline) - Fost Plus — Design for Recycling guidelines (Algemene D4R richtlijnen) / waste-company guidance | --- Page 1 --- | https://www.fostplus.be/nl/media/343/download,source_label_priority
[78],Belgium - Flanders (national D4R guideline) - Fost Plus — Design for Recycling guidelines (Algemene D4R richtlijnen) / waste-company guidance,Stated Organic-waste Treatment Route,Composting,\b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b,composteerbaar,jke vorm met een minimum aan extra componenten (bv. de kleinst mogelijke plastic doppen en elementen) Algemene D4R richtlijnen - Jan. 2026 11 --- Page 12 --- Biodegradeerbaar en composteerbaar plastic • Vermijd het gebruik van biologisch afbreekbare of composteerbare plastic materialen in v,regex_include_exclude
[78],Belgium - Flanders (national D4R guideline) - Fost Plus — Design for Recycling guidelines (Algemene D4R richtlijnen) / waste-company guidance,Acceptance,Rejected,"(ikke|inte|må\s+ikke|skal\s+ikke|ei|ei\s+saa|ei\s+kuulu).{0,180}(komposterbar\w*|bioposer|bioplast|plast|biohajoava\w*|kompostoituva\w*|muovipakkauk\w*|kertak[äa]ytt[öo]astia)",eiden geef de voorkeur aan verpakkingen uit één materiaal (bv.: alleen maar plast,"ar Verbeter de kwaliteit van recycleerbaar materiaal Vermijd verpakkingen die uit meerdere lagen van verschillende materialen bestaan en die niet kunnen worden gescheiden Geef de voorkeur aan verpakkingen uit één materiaal (bv.: alleen maar plastic of karton) Geef de voorkeur aan verpakkingen uit één materiaal (e.g. MDOPE/LDPE, mono PP or mono APET) --- P",regex_include_exclude
[78],Belgium - Flanders (national D4R guideline) - Fost Plus — Design for Recycling guidelines (Algemene D4R richtlijnen) / waste-company guidance,Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,composteerbaar,jke vorm met een minimum aan extra componenten (bv. de kleinst mogelijke plastic doppen en elementen) Algemene D4R richtlijnen - Jan. 2026 11 --- Page 12 --- Biodegradeerbaar en composteerbaar plastic • Vermijd het gebruik van biologisch afbreekbare of composteerbare plastic materialen in v,regex_include_exclude
[78],Belgium - Flanders (national D4R guideline) - Fost Plus — Design for Recycling guidelines (Algemene D4R richtlijnen) / waste-company guidance,Rejection Rationale,Compost/digestate quality or contamination concern,(mikroplastik|fremdstoff|st[öo]rstoff|vervuiling|verontreiniging|schone\s+compost|kwaliteit|schadelijke\s+stoffen|compostkwaliteit|bodem|meststof|fertilisant|engrais|qualit[ée]|inquinant|퇴비|비료|품질),kwaliteit,6 --- D4R: Algemene regels --- Page 7 --- Gebruik verpakkingen uit één materiaal Algemene D4R richtlijnen - Jan. 2026 7 Maak verpakking recycleerbaar Verbeter de kwaliteit van recycleerbaar materiaal Vermijd verpakkingen die uit meerdere lagen van verschillende materialen bestaan en d,regex_include_exclude
[79],Belgium - Ghent (Flanders) - IVAGO (Ghent intermunicipal waste company) / hauler guidance,Source Authority,Waste operator or treatment-facility rule,,,"Belgium - Ghent (Flanders) - IVAGO (Ghent intermunicipal waste company) / hauler guidance | IVAGO gft-zakken and GFT-zakkenzone | IVAGO, Ghent | https://www.ivago.be/nl/particulier/afval/gids/gft;%20https:/www.ivago.be/nl/particulier/dienst/composteerbare-zakjes;%20https:/www.ivago.be/nl/particulier/blog/100-composteerbaar-0-gft",source_label_priority
[79],Belgium - Ghent (Flanders) - IVAGO (Ghent intermunicipal waste company) / hauler guidance,Stated Organic-waste Treatment Route,Composting,\b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b,composteerbaar,"articulier/afval/gids/gft;%20https:/www.ivago.be/nl/particulier/dienst/composteerbare-zakjes;%20https:/www.ivago.be/nl/particulier/blog/100-composteerbaar-0-gft IVAGO gft-zakken and GFT-zakkenzone | IVAGO, Ghent URLs: https://www.ivago.be/nl/particulier/dienst/gft-zakken ; https://www.ivago.be",regex_include_exclude
[79],Belgium - Ghent (Flanders) - IVAGO (Ghent intermunicipal waste company) / hauler guidance,Acceptance,Collection liners only,"(bioj[äa]te|matavfall|food\s*waste|gft|gfe\+?t).{0,180}(compostable|composteerbare?\w*|biologisch\s+afbreekbare?\w*|biohajoava\w*|komposterbar\w*|paper|papieren?)\s+(bag|liner|pussi|zak|zakje|pose)s?","gft-zakken van ivago zijn toegelaten. in de container moet je geen ivago-zakken gebruiken. je kan het gft los in de container gooien, of via andere bio-composteerbare zak","in een 20l gft-zak van IVAGO, ofwel bied je jouw gft-afval los aan in een gft-container en hoef je de zakjes niet te gebruiken. Enkel de 20l gft-zakken van IVAGO zijn toegelaten. In de container moet je geen IVAGO-zakken gebruiken. Je kan het gft los in de container gooien, of via andere bio-composteerbare zakjes.",regex_include_exclude_context_checked
[79],Belgium - Ghent (Flanders) - IVAGO (Ghent intermunicipal waste company) / hauler guidance,Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,composteerbaar,"articulier/afval/gids/gft;%20https:/www.ivago.be/nl/particulier/dienst/composteerbare-zakjes;%20https:/www.ivago.be/nl/particulier/blog/100-composteerbaar-0-gft IVAGO gft-zakken and GFT-zakkenzone | IVAGO, Ghent URLs: https://www.ivago.be/nl/particulier/dienst/gft-zakken ; https://www.ivago.be",regex_include_exclude
[79],Belgium - Ghent (Flanders) - IVAGO (Ghent intermunicipal waste company) / hauler guidance,Rejection Rationale,Reason not explicitly stated,,,,fallback_default
[80],Austria - Vienna (Wien) - Stadt Wien / MA48 (Magistratsabteilung 48 – Abfallwirtschaft) / municipal sorting rule,Source Authority,Municipal sorting rule,,,Austria - Vienna (Wien) - Stadt Wien / MA48 (Magistratsabteilung 48 – Abfallwirtschaft) / municipal sorting rule | Sammlung von biogenem Abfall | https://www.wien.gv.at/umwelt/sammlung-biogener-abfall,source_label_priority
[80],Austria - Vienna (Wien) - Stadt Wien / MA48 (Magistratsabteilung 48 – Abfallwirtschaft) / municipal sorting rule,Stated Organic-waste Treatment Route,Treatment route not stated,\b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b,biotonne,"mlung von biogenem Abfall Müll Die Sammlung von biogenen Abfällen erfolgt in Wien flächendeckend seit 1991. Biogene Abfälle werden über die Biotonnen, in Mulden auf den Mistplätzen und über die Baum- und Strauchschnittabholung gesammelt. Biotonne Biotonnen mit braunem Deckel und braunem",regex_include_exclude
[80],Austria - Vienna (Wien) - Stadt Wien / MA48 (Magistratsabteilung 48 – Abfallwirtschaft) / municipal sorting rule,Acceptance,Rejected,"(ikke|inte|må\s+ikke|skal\s+ikke|ei|ei\s+saa|ei\s+kuulu).{0,180}(komposterbar\w*|bioposer|bioplast|plast|biohajoava\w*|kompostoituva\w*|muovipakkauk\w*|kertak[äa]ytt[öo]astia)","eich, tee- und kaffeesud grundsätzlich gilt: nur jene abfälle gehören in die biotonne, die auch auf den komposthaufen gegeben werden. biogene abfälle bitte ohne plast","nzen Aus Küche und Haus: ungewürzte und ungekochte Obst- und Gemüseabfälle, Pflanzen mit geringen Mengen anhaftender Blumenerde im Wurzelbereich, Tee- und Kaffeesud Grundsätzlich gilt: Nur jene Abfälle gehören in die Biotonne, die auch auf den Komposthaufen gegeben werden. Biogene Abfälle bitte ohne Plastiksackerl in die Biotonne werfen. Das gilt, wenn möglich, auch für Müllsackerl aus ""Bio-Plastik"" . Nicht geeignet für die Biotonne Restmüll",regex_include_exclude
[80],Austria - Vienna (Wien) - Stadt Wien / MA48 (Magistratsabteilung 48 – Abfallwirtschaft) / municipal sorting rule,Certification and Approval Basis,No named standard/approval stated,,,,fallback_default
[80],Austria - Vienna (Wien) - Stadt Wien / MA48 (Magistratsabteilung 48 – Abfallwirtschaft) / municipal sorting rule,Rejection Rationale,Reason not explicitly stated,,,,fallback_default
[81],Austria - National - oesterreich.gv.at (Austrian federal citizen portal) / national government guidance,Source Authority,National rule or policy,,,Austria - National - oesterreich.gv.at (Austrian federal citizen portal) / national government guidance | Bioabfall | https://www.oesterreich.gv.at/de/themen/bauen_und_wohnen/abfall/bioabfall,source_label_priority
[81],Austria - National - oesterreich.gv.at (Austrian federal citizen portal) / national government guidance,Stated Organic-waste Treatment Route,Treatment route not stated,\b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b,bioabfall,Austria - National - oesterreich.gv.at (Austrian federal citizen portal) / national government guidance | Bioabfall | https://www.oesterreich.gv.at/de/themen/bauen_und_wohnen/abfall/bioabfall Bioabfall Zusätzlich zu der Eigenkompostierung gibt es die Mögl,regex_include_exclude
[81],Austria - National - oesterreich.gv.at (Austrian federal citizen portal) / national government guidance,Acceptance,Rejected,"(ikke|inte|må\s+ikke|skal\s+ikke|ei|ei\s+saa|ei\s+kuulu).{0,180}(komposterbar\w*|bioposer|bioplast|plast|biohajoava\w*|kompostoituva\w*|muovipakkauk\w*|kertak[äa]ytt[öo]astia)",eispielsweise sind tierische abfälle nicht für die biotonne geeignet und müssen im restmüll entsorgt werden. biogene abfälle sollten ohne plast,"mpfiehlt sich, bei der jeweiligen Gemeinde zu fragen, inwieweit derartige biogene Abfälle in der Biotonne gesammelt werden sollen. In Wien beispielsweise sind tierische Abfälle nicht für die Biotonne geeignet und müssen im Restmüll entsorgt werden. Biogene Abfälle sollten ohne Plastiksackerl in die Biotonne geworfen werden. Das gilt, wenn möglich, auch für Sackerl aus Papier oder zertifiziert biologisch abbaubarem Kunst",regex_include_exclude
[81],Austria - National - oesterreich.gv.at (Austrian federal citizen portal) / national government guidance,Certification and Approval Basis,No named standard/approval stated,,,,fallback_default
[81],Austria - National - oesterreich.gv.at (Austrian federal citizen portal) / national government guidance,Rejection Rationale,Reason not explicitly stated,,,,fallback_default
[82],Denmark - National - Miljøstyrelsen (Danish Environmental Protection Agency) / national government guidance,Source Authority,National rule or policy,,,Denmark - National - Miljøstyrelsen (Danish Environmental Protection Agency) / national government guidance | Udskriftsdato: 17. maj 2024 | https://producentansvar.dk/wp-content/uploads/2022/04/mst-sorteringsvejledning-2022.pdf,source_label_priority
[82],Denmark - National - Miljøstyrelsen (Danish Environmental Protection Agency) / national government guidance,Stated Organic-waste Treatment Route,Treatment route not stated,\b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b,madaffald,"emballager 2.2. Låg på emballager 2.3. Renhedskriterier for tekstilaffald 2.4. Sortering med eller uden pose, tørre fraktioner 2.5. Sortering af madaffald i pose 2.6. Affald, der generelt kan skade genanvendelsen 2.7. Piktogrammer 12 3. Sorteringskriterier for de enkelte affaldsfraktione",regex_include_exclude
[82],Denmark - National - Miljøstyrelsen (Danish Environmental Protection Agency) / national government guidance,Acceptance,Rejected,"(ikke|inte|må\s+ikke|skal\s+ikke|ei|ei\s+saa|ei\s+kuulu).{0,180}(komposterbar\w*|bioposer|bioplast|plast|biohajoava\w*|kompostoituva\w*|muovipakkauk\w*|kertak[äa]ytt[öo]astia)","interesse- og brancheorganisationer. 1.2. afgrænsning denne vejledning omfatter udelukkende kriterier for udsortering af madaffald, papir, pap, plast","dialog med branchen via forskellige workshops med repræsentanter fra både affaldsselskaber, kommuner, sorteringsanlæg, genanvendelsesanlæg samt relevante interesse- og brancheorganisationer. 1.2. Afgrænsning Denne vejledning omfatter udelukkende kriterier for udsortering af madaffald, papir, pap, plast, glas, metal, mad- og drikkekartoner, tekstilaffald, farligt affald, herunder småt elektronik og batterier til genanvendelse",regex_include_exclude
[82],Denmark - National - Miljøstyrelsen (Danish Environmental Protection Agency) / national government guidance,Certification and Approval Basis,Government/programme approval,(専用袋|指定袋|市が回収|전용봉투|종량제봉투|专用袋|專用袋|orange\s+bag|oranžin\w*\s+maišel\w*),orange bag,"apoteket Sko med lys og batterier Fjernbetjeninger Elektrisk værktøj Opladere, kabler og ledninger Lomme- og cykellygter VEJ nr 9793 af 01/07/2022 34 Kameraer MP3-afspillere Elektriske ure Mindre husholdningsapparater Stikdåser og sikringer Røgalarmer til husholdninger Lykønskningsko",regex_include_exclude
[82],Denmark - National - Miljøstyrelsen (Danish Environmental Protection Agency) / national government guidance,Rejection Rationale,Compost/digestate quality or contamination concern,\b(pfas|additive|chemical|toxic|toxicity|heavy\s+metal|fluorinated|substance|contaminant\s+chemicals?|harmful\s+substances?)\b,pfas,"res affald, der består af rent og tørt papir, som fx aviser, reklamer og kontorpapir mv. Papiret må ikke indeholde uønskede stoffer og materialer, som giver problemer i genanvendelsen fx perflourerede stoffer (PFAS) eller vådt og snavset papir. Papir er en af de affaldsfraktioner, so",regex_include_exclude
[83],Denmark - Roskilde (Zealand) - Roskilde Kommune / municipal sorting rule,Source Authority,Municipal sorting rule,,,Denmark - Roskilde (Zealand) - Roskilde Kommune / municipal sorting rule | start på hovedindhold | https://www.roskilde.dk/da-dk/service-og-selvbetjening/borger/affald-og-genbrug/hvordan-sorterer-jeg-affaldet/madaffald/,source_label_priority
[83],Denmark - Roskilde (Zealand) - Roskilde Kommune / municipal sorting rule,Stated Organic-waste Treatment Route,AD/biogas only,\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|biokaas|biogaz|biogass|biogasanlegg|r[öo]tning|biog[öo]dsel|biog[øo]dning|digestate|厌氧|厭氧|沼气|沼氣)\b,biogas,"dan-sorterer-jeg-affaldet/madaffald/ start på hovedindhold Dit madaffald er fuld af energi Når dit madaffald rådner, frigiver det værdifuld biogas, vi kan bruge til energi i både busser og til støvsugeren derhjemme. senest opdateret 12. maj 2026 Hvad er madaffald? Madaffald er som tomm",regex_include_exclude
[83],Denmark - Roskilde (Zealand) - Roskilde Kommune / municipal sorting rule,Acceptance,Collection liners only,"(?:bioposer|matavfallsp[åa]sar|bioavfallsp[åa]sar|bioj[äa]tepussi|bioj[äa]tepussit).{0,120}(?:matavfall|madaffald|bioaffald|bioavfall|bioj[äa]te|ruokaj[äa]te)",bioposer. slå altid knude på bioposen med madaffald,"affald er som tommelfingerregel alt det køkkenaffald, der stammer fra planter eller dyr. Både tilberedt og råt. Brug altid og kun de grønne bioposer. Slå altid knude på bioposen med madaffald. Ja, tak - det kan vi bruge til biogas og gødning Frugt - og grøntsagsrester Kød, fisk og fjerkræ Ben, knogler og skaldyrs skaller Morgenma",regex_include_exclude_context_checked
[83],Denmark - Roskilde (Zealand) - Roskilde Kommune / municipal sorting rule,Certification and Approval Basis,EN 13432 / OK compost / Seedling,\b(en|din\s*en|uni\s*en|bs\s*en|nf\s*en)?\s*13432\b,en13432,"ioposer mikroplast? Vores bioposer indeholder med garanti ikke traditionel plast. Bioposerne er certificerede efter den europæiske standard EN13432. Det betyder, at poserne består af bionedbrydelige polymerer, der kan spises af mikroorganismer. Derfor efterlader poserne ikke spor af mik",regex_include_exclude
[83],Denmark - Roskilde (Zealand) - Roskilde Kommune / municipal sorting rule,Rejection Rationale,Reason not explicitly stated,,,,fallback_default
[84],Sweden - National - Avfall Sverige (Swedish Waste Management association — industry body for certified biogas facilities) / composting facility rule / certification standard,Source Authority,Waste operator or treatment-facility rule,,,Sweden - National - Avfall Sverige (Swedish Waste Management association — industry body for certified biogas facilities) / composting facility rule / certification standard | Hem | https://www.avfallsverige.se/fakta-statistik/certifierad-atervinning/certifieringsregler-for-biogodsel/nya-krav-pa-pasar-for-matavfall/,source_label_priority
[84],Sweden - National - Avfall Sverige (Swedish Waste Management association — industry body for certified biogas facilities) / composting facility rule / certification standard,Stated Organic-waste Treatment Route,AD/biogas + composting,"\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|r[öo]tning|digestate|biog[öo]dsel|biog[øo]dning)\b.{0,180}\b(compost|composting|kompost|compostaggio|compostaje|compostagem|kompostering|kompostointi|kompostiranje|κομποστοποίηση|堆肥|퇴비)",biogas facilities) / compost,Sweden - National - Avfall Sverige (Swedish Waste Management association — industry body for certified biogas facilities) / composting facility rule / certification standard | Hem | https://www.avfallsverige.se/fakta-statistik/certifierad-atervinning/certifieringsregler-,regex_include_exclude
[84],Sweden - National - Avfall Sverige (Swedish Waste Management association — industry body for certified biogas facilities) / composting facility rule / certification standard,Acceptance,Rejected,"(ikke|inte|må\s+ikke|skal\s+ikke|ei|ei\s+saa|ei\s+kuulu).{0,180}(komposterbar\w*|bioposer|bioplast|plast|biohajoava\w*|kompostoituva\w*|muovipakkauk\w*|kertak[äa]ytt[öo]astia)",inte utvärderas för kontakt med livsmedel i dagsläget och inte heller certifieras enligt en13432. innebär det då att påsar av returplast,standard för icke-nedbrytbara påsar. Styrgruppen för Certifierad återvinning bevakar dock frågan. Påsar av (icke nedbrytbar) returplast kan inte utvärderas för kontakt med livsmedel i dagsläget och inte heller certifieras enligt EN13432. Innebär det då att påsar av returplast inte kan bli godkända? Så vitt styrgruppen för Certifierad återvinning känner till klarar påsar av 100% returplast i dagsläget inte kraven,regex_include_exclude
[84],Sweden - National - Avfall Sverige (Swedish Waste Management association — industry body for certified biogas facilities) / composting facility rule / certification standard,Certification and Approval Basis,EN 13432 / OK compost / Seedling,\b(en|din\s*en|uni\s*en|bs\s*en|nf\s*en)?\s*13432\b,en13432,dkända insamlingspåsar tas emot av biogasanläggningar som producerar certifierad biogödsel. En godkänd insamlingspåse är certifierad enligt EN13432 eller utvärderad för kontakt med livsmedel enligt (EC) No 1935/2004. Detta innebär att kommuner som vill lämna sitt matavfall till biogasan,regex_include_exclude
[84],Sweden - National - Avfall Sverige (Swedish Waste Management association — industry body for certified biogas facilities) / composting facility rule / certification standard,Rejection Rationale,Reason not explicitly stated,,,,fallback_default
[85],Sweden - National (Avfallsförordningen) - Naturvårdsverket / Swedish Government (Avfallsförordningen 2020:614 as amended; Avfall Sverige interpretation) / national government guidance,Source Authority,National rule or policy,,,Sweden - National (Avfallsförordningen) - Naturvårdsverket / Swedish Government (Avfallsförordningen 2020:614 as amended; Avfall Sverige interpretation) / national government guidance | 2024-01-02 | https://www.avfallsverige.se/aktuellt/nyheter/ny-lagstiftning-2024/,source_label_priority
[85],Sweden - National (Avfallsförordningen) - Naturvårdsverket / Swedish Government (Avfallsförordningen 2020:614 as amended; Avfall Sverige interpretation) / national government guidance,Stated Organic-waste Treatment Route,Treatment route not stated,\b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b,matavfall,m lättillgängliga insamlingsplatser Avfall Sveriges frågor och svar om förpackningsavfall 2. Nationellt krav på utsortering av ickeflytande matavfall samt flytande fett De flesta kommuner har sedan några eller många år haft antingen frivillig insamling av matavfall (genom miljöstyrande ta,regex_include_exclude
[85],Sweden - National (Avfallsförordningen) - Naturvårdsverket / Swedish Government (Avfallsförordningen 2020:614 as amended; Avfall Sverige interpretation) / national government guidance,Acceptance,No explicit compostable-packaging rule,,,,fallback_default
[85],Sweden - National (Avfallsförordningen) - Naturvårdsverket / Swedish Government (Avfallsförordningen 2020:614 as amended; Avfall Sverige interpretation) / national government guidance,Certification and Approval Basis,No named standard/approval stated,,,,fallback_default
[85],Sweden - National (Avfallsförordningen) - Naturvårdsverket / Swedish Government (Avfallsförordningen 2020:614 as amended; Avfall Sverige interpretation) / national government guidance,Rejection Rationale,Not applicable - not a rejection/restriction case,,,,derived_from_acceptance
[86],Sweden - Stockholm - Stockholm Vatten och Avfall (SVOA) / municipal sorting rule,Source Authority,Municipal sorting rule,,,Sweden - Stockholm - Stockholm Vatten och Avfall (SVOA) / municipal sorting rule | Regler för förpackat matavfall från livsmedelsbutik | https://www.stockholmvattenochavfall.se/artiklar-listsida/avfall---sortering-och-atervinning/regler-for-forpackat-matavfall-fran-livsmedelsbutik/,source_label_priority
[86],Sweden - Stockholm - Stockholm Vatten och Avfall (SVOA) / municipal sorting rule,Stated Organic-waste Treatment Route,Treatment route not stated,\b(brown\s*bin|green\s*cart|organic\s*waste\s*collection|food\s*waste\s*collection|food\s*scraps?\s*(?:bin|collection)|bio[- ]?waste\s*collection|biowaste\s*collection|FOGO|GFT|biotonne|bioabfall|contenedor\s+marr[oó]n|contentor\s+castanho|bac\s+brun|rifiut[io]\s+organic[io]|umido|maisto\s+atliek|bioj[äa]te|madaffald|matavfall|bioodpad|pojemnik\s+bio|kitchen\s*waste\s*collection)\b,matavfall,Sweden - Stockholm - Stockholm Vatten och Avfall (SVOA) / municipal sorting rule | Regler för förpackat matavfall från livsmedelsbutik | https://www.stockholmvattenochavfall.se/artiklar-listsida/avfall---sortering-och-atervinning/regler-for-forpackat-ma,regex_include_exclude
[86],Sweden - Stockholm - Stockholm Vatten och Avfall (SVOA) / municipal sorting rule,Acceptance,Rejected,"(förpackningar|emballasje|emballage|pakkaukset|pakend|maisto\s+pakuot\w*).{0,180}(inte|ikke|må\s+ikke|ei|ei\s+saa|ei\s+kuulu|not\s+allowed)",förpackningarna som innehåller denna typ av matavfall tömmas och materialåtervinnas. tänk på att den här typen av flytande matavfall inte,", mjölk och juice är undantagna från kravet om obligatorisk utsortering och insamling. Även om det inte finns krav på separat insamling ska förpackningarna som innehåller denna typ av matavfall tömmas och materialåtervinnas. Tänk på att den här typen av flytande matavfall inte får spolas ner i avloppet eftersom detta kan orsaka stopp och förstöra ledningarna. Livsmedelsbutiker med annat flytande matavfall kan hant",regex_include_exclude
[86],Sweden - Stockholm - Stockholm Vatten och Avfall (SVOA) / municipal sorting rule,Certification and Approval Basis,No named standard/approval stated,,,,fallback_default
[86],Sweden - Stockholm - Stockholm Vatten och Avfall (SVOA) / municipal sorting rule,Rejection Rationale,Reason not explicitly stated,,,,fallback_default
[87],Switzerland - Zürich (city) - Stadt Zürich — Tiefbau- und Entsorgungsdepartement / municipal sorting rule,Source Authority,Municipal sorting rule,,,Switzerland - Zürich (city) - Stadt Zürich — Tiefbau- und Entsorgungsdepartement / municipal sorting rule | Seite vorlesen | https://www.stadt-zuerich.ch/de/umwelt-und-energie/entsorgung/was-entsorgen/bioabfall.html,source_label_priority
[87],Switzerland - Zürich (city) - Stadt Zürich — Tiefbau- und Entsorgungsdepartement / municipal sorting rule,Stated Organic-waste Treatment Route,AD/biogas + composting,"\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|r[öo]tning|digestate|biog[öo]dsel|biog[øo]dning)\b.{0,180}\b(compost|composting|kompost|compostaggio|compostaje|compostagem|kompostering|kompostointi|kompostiranje|κομποστοποίηση|堆肥|퇴비)",biogas zürich ag zu biogas und kompost,"lls im entsprechenden Container benötigen Sie weniger Züri-Säcke, was auch Ihr Portemonnaie entlastet. Der Bioabfall wird im Vergärwerk der Biogas Zürich AG zu Biogas und Kompostprodukten verarbeitet. Das Biogas wird ins Gasnetz von Energie 360° AG eingespeist und steht als erneuerbare Energie, als Treibstoff, zum He",regex_include_exclude
[87],Switzerland - Zürich (city) - Stadt Zürich — Tiefbau- und Entsorgungsdepartement / municipal sorting rule,Acceptance,Rejected,"(ikke|inte|må\s+ikke|skal\s+ikke|ei|ei\s+saa|ei\s+kuulu).{0,180}(komposterbar\w*|bioposer|bioplast|plast|biohajoava\w*|kompostoituva\w*|muovipakkauk\w*|kertak[äa]ytt[öo]astia)","einweg-lösungen (z. b. kompostbox) kompostierbare kleider medikamente muschelschalen neophyten (gebietsfremde pflanzen, die einheimische pflanzen verdrängen) plastik plast","irr** Erde*** Hundekot Hygieneartikel (Binden, Tampons, Windeln, Verbandsmaterial) Katzensand** kompostierbare Beutel ohne Gitterdruck oder Einweg-Lösungen (z. B. Kompostbox) kompostierbare Kleider Medikamente Muschelschalen Neophyten (gebietsfremde Pflanzen, die einheimische Pflanzen verdrängen) Plastik Plastiksäcke aus rezykliertem Plastik Speise- und Mineralöl Staubsaugerbeutel Steine (Kies, Sand) Tee-/ Kaffeekapseln und -beutel** Verpackungsma",regex_include_exclude
