citation_id,country_or_region,subnational_or_context,source_label,source_title,source_url,Source Authority,Stated Organic-waste Treatment Route,Treatment Route Coding Note,Acceptance,Certification and Approval Basis,Rejection Rationale,Application Groups Detected,Source-level Sensitivity Group
[130],Portugal,LIPOR service area / Greater Porto,"Portugal - LIPOR service area / Greater Porto - Os sacos compostáveis podem ser colocados no Contentor Castanho, dos Resíduos Alimentares?","Os sacos compostáveis podem ser colocados no Contentor Castanho, dos Resíduos Alimentares?",https://www.lipor.pt/pt/perguntas-frequentes/tratamento-centralizado-recolha-seletiva-de-biorresiduos/faq-221/,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Collection liners only,No named standard/approval stated,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[131],Portugal,Cascais / Mafra / Oeiras / Sintra (Tratolixo),Portugal - Cascais / Mafra / Oeiras / Sintra (Tratolixo) - Biorresíduos e saco verde da Tratolixo,Biorresíduos e saco verde da Tratolixo,https://www.tratolixo.pt/biorresiduos/,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[132],Spain,Las Palmas de Gran Canaria,Spain - Las Palmas de Gran Canaria - El contenedor MARRÓN: residuos orgánicos,El contenedor MARRÓN: residuos orgánicos,https://www.laspalmasgc.es/es/areas-tematicas/limpieza-y-reciclaje/separacion-y-reciclaje/el-contenedor-marron-residuos-organicos/,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[133],Czechia,Brno-Chrlice,Czechia - Brno-Chrlice - Třídění odpadů,Třídění odpadů,https://www.mcchrlice.brno.cz/trideni-odpadu/ms-11715,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,No named standard/approval stated,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[134],Denmark,Copenhagen,Denmark - Copenhagen - Sådan sorterer du madaffald,Sådan sorterer du madaffald,https://affald.kk.dk/affaldsfraktion/saadan-sorterer-du-madaffald,Municipal sorting rule,AD/biogas only,Named downstream treatment route detected,Collection liners only,No named standard/approval stated,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[135],Iceland,Reykjavík,Iceland - Reykjavík - Our bins,Our bins,https://reykjavik.is/en/sorphirda/tunnur,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Tea/coffee preparation items; Food-soiled paper / fibre packaging; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[136],United States,"New York City, NY","United States - New York City, NY - Curbside Composting",Curbside Composting,https://www.nyc.gov/site/dsny/collection/residents/curbside-composting.page,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags; Food-service ware / takeaway packaging; Food-soiled paper / fibre packaging; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[137],United States,"Austin, Texas","United States - Austin, Texas - Rule Amendments: Drop Off & Curbside Services",Rule Amendments: Drop Off & Curbside Services,https://services.austintexas.gov/edims/document.cfm?id=470851,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,BPI / ASTM / CMA,No compatible organic-treatment route,Food-waste liners / collection bags,Sources below national level
[138],United States,"King County, Washington","United States - King County, Washington - How to compost right",How to compost right,https://kingcounty.gov/en/dept/dnrp/waste-services/garbage-recycling-compost/services/food-yard-waste/how-to-compost,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Slow degradation / residence-time mismatch,Tea/coffee preparation items; Shopping/produce bags,Sources below national level
[139],United States,"Portland, Oregon","United States - Portland, Oregon - Compost – what goes in the bin",Compost – what goes in the bin,https://www.portland.gov/bps/garbage-recycling/compost,Municipal sorting rule,Composting,Named downstream treatment route detected,Rejected,BPI / ASTM / CMA,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[140],United States,"La Mesa, California","United States - La Mesa, California - Organic Recycling - Residential",Organic Recycling - Residential,https://la-mesa-city.edcodisposal.com/residential-waste-services/curbside-pickup/organic-recycling/,"State, provincial, regional, or canton rule",AD/biogas only,Named downstream treatment route detected,No clear organics route,Government/programme approval,No compatible organic-treatment route,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging,Sources below national level
[141],United States,South San Francisco / San Mateo County service area,United States - South San Francisco / San Mateo County service area - Residential Organics,Residential Organics,https://ssfscavenger.com/residential-organics/,"State, provincial, regional, or canton rule",AD/biogas + composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,AD/biogas incompatibility,Tea/coffee preparation items; Food-soiled paper / fibre packaging; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[142],United Kingdom,Greater Manchester,United Kingdom - Greater Manchester - The truth about compostable packaging,The truth about compostable packaging,https://recycleforgreatermanchester.com/blog/the-truth-about-compostable-packaging/,Intermunicipal or regional waste authority,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Food-service ware / takeaway packaging; Generic compostable packaging / plastics,Sources below national level
[143],Japan,"Minamata City, Kumamoto Prefecture","Japan - Minamata City, Kumamoto Prefecture - Food-waste recycling / kitchen-garbage recycling page",Food-waste recycling / kitchen-garbage recycling page,https://www.city.minamata.lg.jp/kankyo/kiji003458/index.html,"State, provincial, regional, or canton rule",Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,Government/programme approval,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[144],Japan,"Zushi City, Kanagawa Prefecture","Japan - Zushi City, Kanagawa Prefecture - Zushi food-waste collection system-design PDF",Zushi food-waste collection system-design PDF,https://www.city.zushi.kanagawa.jp/_res/projects/default_project/_page_/001/002/133/namagomi_seidosekkei202302.pdf,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,Collection liners only,Government/programme approval,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[145],Chile,"Providencia, Santiago Metropolitan Region","Chile - Providencia, Santiago Metropolitan Region - Medioambiente - Reciclaje Orgánico",Medioambiente - Reciclaje Orgánico,https://providencia.cl/provi/vive/medioambiente/reciclaje-organico,Intermunicipal or regional waste authority,Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[146],Chile,Santa Juana / national Reciclo Orgánicos programme,Chile - Santa Juana / national Reciclo Orgánicos programme - Reciclo Orgánicos composting manual / Santa Juana programme,Reciclo Orgánicos composting manual / Santa Juana programme,https://reciclorganicos.mma.gob.cl/wp-content/uploads/2022/06/Anexo-Manual-de-Compostaje.pdf,National rule or policy,Composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Reason not explicitly stated,Organic-waste system context only,National/supranational sources
[147],Poland,Kraków,Poland - Kraków - MPO Kraków bio-waste page,MPO Kraków bio-waste page,https://mpo.krakow.pl/bio/,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,No named standard/approval stated,Explicit no-packaging / positive-list restriction,Organic-waste system context only,Sources below national level
[148],Poland,Wrocław,Poland - Wrocław - Wrocław bio-waste sorting page,Wrocław bio-waste sorting page,https://www.wroclaw.pl/zielony-wroclaw/segregacja-gdzie-wyrzucac-bioodpady-resztki-z-kuchni-kompost-jak-zaoszczedzic-120-zl,Municipal sorting rule,AD/biogas only,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[149],Hungary,National / MOHU system,Hungary - National / MOHU system - Konyhai zöld- és élelmiszer hulladék,MOHU | Konyhai zöld- és élelmiszer hulladék,https://mohu.hu/hu/biohulladek,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[150],Greece,National / municipalities,Greece - National / municipalities - Biowaste Guide for Municipalities,Biowaste Guide for Municipalities,https://www.giz.de/de/downloads/Biowaste%20Guide%20for%20municipalities%20EN.pdf,National rule or policy,Composting,Named downstream treatment route detected,No clear organics route,EN 13432 / OK compost / Seedling,No compatible organic-treatment route,Food-waste liners / collection bags; Generic compostable packaging / plastics,National/supranational sources
[151],South Korea,Seoul,South Korea - Seoul - added municipal/authority operational source,null 상세 |  | 씽글벙글 서울(서울 1인가구 포털),https://1in.seoul.go.kr/front/board/boardContentsView.do?board_id=9&contents_id=8db9ef985ddc4d589554c602a258f761,Municipal sorting rule,Composting,Named downstream treatment route detected,Rejected,Government/programme approval,Slow degradation / residence-time mismatch,Food-waste liners / collection bags,Sources below national level
[152],United Kingdom,Westminster,United Kingdom - Westminster - added municipal/authority operational source,Using the food waste service,https://www.westminster.gov.uk/food-waste-recycling-expansion/using-food-waste-service,Municipal sorting rule,AD/biogas only,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,AD/biogas incompatibility,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[153],United Kingdom,Leeds,United Kingdom - Leeds - added municipal/authority operational source,Main navigation,https://www.leeds.gov.uk/bins-and-recycling/your-bins/food-waste-bin,Municipal sorting rule,AD/biogas + composting,Named downstream treatment route detected,Collection liners only,EN 13432 / OK compost / Seedling,No compatible organic-treatment route,Food-waste liners / collection bags; Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[154],Netherlands,The Hague,Netherlands - The Hague - added municipal/authority operational source,Separating waste: organic waste (GFT),https://www.denhaag.nl/en/waste-and-recycling/separating-waste-and-recycling/separating-waste-organic-waste-gft/,Municipal sorting rule,AD/biogas + composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[155],Netherlands,Maastricht,Netherlands - Maastricht - added municipal/authority operational source,Hoofdnavigatie Engels,https://www.gemeentemaastricht.nl/en/vegetable-fruit-garden-and-food-waste,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Food-service ware / takeaway packaging; Generic compostable packaging / plastics,Sources below national level
[156],Italy,Hera,Italy - Hera - added municipal/authority operational source,Menù di navigazione,https://www.gruppohera.it/-/raccolta-differenziata-dell-organico-una-risorsa-senza-limiti-1,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,No named standard/approval stated,AD/biogas incompatibility,Organic-waste system context only,Sources below national level
[157],Greece,Chania-DEDISA,Greece - Chania-DEDISA - added municipal/authority operational source,Food waste separate collection - Chania Prefecture Biowaste,https://www.chania.gr/wp-content/uploads/2020/12/55/43694/8pages_16x16_dedisa_en_corrected.pdf,"State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,EN 13432 / OK compost / Seedling,No compatible organic-treatment route,Food-waste liners / collection bags; Tea/coffee preparation items; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[158],Greece,Arta,Greece - Arta - added municipal/authority operational source,ΚΑΦΕ ΚΑΔΟΣ,https://kafekadoi.gr/ti-einai-o-kafe-kados/,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,EN 13432 / OK compost / Seedling,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[159],France,Bordeaux Métropole,France - Bordeaux Métropole - added municipal/authority operational source,Navigation principale,https://www.bordeaux-metropole.fr/a-votre-service/services-aux-particuliers/dechets/je-trie-je-valorise/dechets-alimentaires,Intermunicipal or regional waste authority,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags,Sources below national level
[160],France,Aix-Marseille-Provence,France - Aix-Marseille-Provence - added municipal/authority operational source,J’utilise les bornes de déchets alimentaires,https://dechets.ampmetropole.fr/particuliers/je-nourris-mon-jardin-avec-le-compost/je-trie-mes-dechets-alimentaires-off/,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,No named standard/approval stated,Compost/digestate quality or contamination concern,Organic-waste system context only,Sources below national level
[161],France,Grenoble Alpes Métropole,France - Grenoble Alpes Métropole - added municipal/authority operational source,Menu,https://www.grenoblealpesmetropole.fr/80-les-dechets-alimentaires.htm,Intermunicipal or regional waste authority,AD/biogas only,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items,Sources below national level
[162],Norway,BIR Bergen,Norway - BIR Bergen - added municipal/authority operational source,Råd for riktig bruk av papirposen til matavfall,https://bir.no/bli-kvitt-boss/matavfall/poser-til-matavfall/,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,No named standard/approval stated,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[163],Norway,MOVAR,Norway - MOVAR - added municipal/authority operational source,Bioposer,https://www.movar.no/bioposer-til-matavfall.html,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,No named standard/approval stated,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[164],Norway,TRV Trondheim,Norway - TRV Trondheim - added municipal/authority operational source,Slik får du tak i bioposer til matavfall og plastsekker til plastemballasje,https://trv.no/bioposer-plastsekker/,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,No named standard/approval stated,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[165],Spain,Dénia,Spain - Dénia - added municipal/authority operational source,Ayuntamiento de Dénia,https://denia.es/es/denia/actualitat/noticia.aspx?id=6498,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,No named standard/approval stated,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[166],Spain,Zaragoza,Spain - Zaragoza - added municipal/authority operational source,El Ayuntamiento repartirá 7.600 rollos de bolsas compostables y 6.000 cubos domésticos para residuos orgánicos a través de los Puntos Limpios Móviles,https://www.zaragoza.es/sede/servicio/noticia/338669,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[167],Spain,Girona,Spain - Girona - added municipal/authority operational source,Navegació,https://web.girona.cat/netejairesidus/residus/organic,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[168],Sweden,Gothenburg,Sweden - Gothenburg - added municipal/authority operational source,Vanliga sökningar,https://goteborg.se/wps/portal?uri=gbglnk%3Agbg.page.86ec7f04-66b5-4ce7-9e46-5542060a756d2,Municipal sorting rule,AD/biogas + composting,Named downstream treatment route detected,Collection liners only,No named standard/approval stated,Slow degradation / residence-time mismatch,Food-waste liners / collection bags,Sources below national level
[169],Sweden,Uppsala,Sweden - Uppsala - added municipal/authority operational source,Drick inte det kommunala dricksvattnet i Vänge,https://www.uppsalavatten.se/hushall/avfall-och-atervinning/sorteringsguide/avfallstyper/matavfall,Municipal sorting rule,AD/biogas + composting,Named downstream treatment route detected,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[170],Iceland,Akureyri,Iceland - Akureyri - Municipal/operator organic-waste sorting guidance,Akureyri PDF source,https://gamli.akureyri.is/static/files/Umhverfismal-/aureyri-flokkunarleidbeiningar-en.pdf,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items,Sources below national level
[171],Slovakia,Košice,Slovakia - Košice - Municipal/operator organic-waste sorting guidance,Kuchynský biologický odpad,https://www.kosice.sk/obcan/kuchynsky-biologicky-odpad,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[172],Slovakia,Trnava,Slovakia - Trnava - Municipal/operator organic-waste sorting guidance,Oficiálne stránky mesta Trnava,https://www.trnava.sk/zivotne-situacie/716/kompostovatelne-vrecka-na-rozlozitelny-kuchynsky-bioodpad,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,No named standard/approval stated,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[173],Denmark,Odense,Denmark - Odense - Municipal/operator organic-waste sorting guidance,Komposterbareposer,https://www.odenserenovation.dk/sorteringsguide/affaldstype/komposterbareposer/,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,No explicit compostable-packaging rule,No named standard/approval stated,Not applicable - not a rejection/restriction case,Organic-waste system context only,Sources below national level
[174],Denmark,Aalborg,Denmark - Aalborg - Municipal/operator organic-waste sorting guidance,Food waste in Aalborg Municipality,https://nordvaerk.dk/borger/aalborg-kommune-borger/affaldssortering/madaffald-i-aalborg-kommune/,Municipal sorting rule,AD/biogas only,Named downstream treatment route detected,Rejected,Government/programme approval,AD/biogas incompatibility,Food-waste liners / collection bags; Tea/coffee preparation items,Sources below national level
[175],Czechia,Plzeň,Czechia - Plzeň - Municipal/operator organic-waste sorting guidance,Typy odpadů a nakládání s nimi,https://odpady.plzen.eu/mesto-a-odpady/typy-odpadu/trideni-odpadu/biologicky-rozlozitelny-odpad/,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,No named standard/approval stated,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[176],New Zealand,Christchurch,New Zealand - Christchurch - City Council green-bin organics guidance,Organics – green bin : Christchurch City Council,https://ccc.govt.nz/services/rubbish-and-recycling/greenbin,Municipal sorting rule,Composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[177],New Zealand,Auckland,New Zealand - Auckland - Council food-scraps / compostable liner guidance,The best of both worlds - compost and food scraps - OurAuckland,https://ourauckland.aucklandcouncil.govt.nz/news/2023/04/the-best-of-both-worlds-compost-and-food-scraps/,Municipal sorting rule,Composting,Named downstream treatment route detected,Dedicated/controlled route only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Food-service ware / takeaway packaging,Sources below national level
[178],Belgium,Wallonia / Intradel,Belgium - Wallonia / Intradel - Organic-waste collection guidance,Intradel - Les déchets organiques,https://www.intradel.be/trier-ses-dechets/les-collectes-en-porte-a-porte-1/les-dechets-organiques.htm?lng=fr,"State, provincial, regional, or canton rule",AD/biogas + composting,Named downstream treatment route detected,Collection liners only,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items,Sources below national level
[179],Belgium,Wallonia / Hygea,Belgium - Wallonia / Hygea - Organic-waste sorting guidance,Les déchets organiques | Hygea,https://www.hygea.be/prevention-dechets/tri-dechets/dechets-organiques,"State, provincial, regional, or canton rule",AD/biogas + composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Tea/coffee preparation items,Sources below national level
[180],Slovenia,Maribor,Slovenia - Maribor - Municipal waste-sorting guidance,Kako ločevati in odlagati odpadke? - Maribor.si,https://okolje.maribor.si/kakoloevatiinodlagatiodpadk,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,No named standard/approval stated,Explicit no-packaging / positive-list restriction,Food-waste liners / collection bags,Sources below national level
[181],Slovenia,Kranj / Komunala Kranj,Slovenia - Kranj / Komunala Kranj - Brown-bin biowaste guidance,Zaščita rjavega zabojnika in pravilno odlaganje bioloških odpadkov | Komunala Kranj,https://www.komunala-kranj.si/zascita-rjavega-zabojnika-in-pravilno-odlaganje-bioloskih-odpadkov,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags; Generic compostable packaging / plastics,Sources below national level
[182],Luxembourg,Minett Kompost,Luxembourg - Minett Kompost - Organic-waste bag / collection guidance,Organique sans plastique - c‘est esthétique,https://minett-kompost.lu/organique-sans-plastique-cest-esthetique/,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags,Sources below national level
[183],Costa Rica,Costa Rica / community or domestic composting context,Costa Rica - Costa Rica / community or domestic composting context - ComposterOs - community composting guidance / operator-style guidance,¿Es compostable? Qué agregar y qué no agregar a la compostera,https://composteros.go.cr/blog/-/blogs/-es-compostable-que-agregar-y-que-no-agregar-a-la-compostera,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,No explicit compostable-packaging rule,Generic compostable/biodegradable wording only,Not applicable - not a rejection/restriction case,Generic compostable packaging / plastics,Sources below national level
[184],Czechia,Karlovy Vary,Czechia - Karlovy Vary - L?ze?sk? lesy a parky Karlovy Vary - local municipal-operator sorting guidance,Bioodpad,https://www.llpkv.cz/sluzby-pro-obcany/bioodpad,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,No named standard/approval stated,Explicit no-packaging / positive-list restriction,Food-waste liners / collection bags,Sources below national level
